suit_name;suit_price;suit_color;suit_material;suit_origin;suit_sex;suit_image1;suit_image2;suit_image3
THREE-PIECE SLIM-FIT SUIT IN VIRGIN WOOL;;Dark Blue;Virgin Wool;Italy;Men;https://images.hugoboss.com/is/image/boss/hbeu50498789_404_600?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692809144000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50498789_404_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692809144000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50498789_404_170?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692809144000&wid=1200&hei=1818&fmt=webp
SLIM-FIT TUXEDO IN A VIRGIN-WOOL BLEND;;Black;Virgin Wool;Italy;Men;https://images.hugoboss.com/is/image/boss/hbeu50502453_001_600?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692291052000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50502453_001_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692291052000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50502453_001_170?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692291052000&wid=1200&hei=1818&fmt=webp
REGULAR-FIT SUIT IN A MICRO-PATTERNED WOOL BLEND;;Dark Blue;Virgin Wool;Italy;Men;https://images.hugoboss.com/is/image/boss/hbeu50511454_417_600?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1690911906000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50511454_417_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1690911906000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50511454_417_170?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1690911906000&wid=1200&hei=1818&fmt=webp
REGULAR-FIT SUIT IN A MICRO-PATTERNED WOOL BLEND;;Dark Grey;Virgin Wool;Italy;Men;https://images.hugoboss.com/is/image/boss/hbeu50511454_061_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692809144000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50511454_061_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692809144000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50511454_061_170?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692809144000&wid=1200&hei=1818&fmt=webp
SLIM-FIT THREE-PIECE SUIT IN CHECKED VIRGIN WOOL;;Dark Blue;Virgin Wool;Italy;Men;https://images.hugoboss.com/is/image/boss/hbeu50505180_404_600?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691623760000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50505180_404_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691623760000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbeu50505180_404_170?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691623760000&wid=1200&hei=1818&fmt=webp
The Cutaway Blazer in Micro Houndstooth Double Knit;;Café Au Lait;Lyocell/Cotton;Italy;Women;https://anninc.scene7.com/is/image/AN/834098_5824?$fullBpdp$;https://anninc.scene7.com/is/image/AN/834098_5824?$pdpthumb$;https://anninc.scene7.com/is/image/AN/834098_5824_ALT2?$pdpthumb$
The Notched One Button Blazer in Seasonless Stretch;;Grey;Viscose/Polyamid;Italy;Women;https://anninc.scene7.com/is/image/AN/612797_0892?$fullBpdp$;https://anninc.scene7.com/is/image/AN/612797_0892_ALT1?$pdpthumb$;https://anninc.scene7.com/is/image/AN/612797_0892_ALT2?$pdpthumb$
The Long Collarless Blazer in Fluid Crepe;;Beige;Virgin Wool;Italy;Women;https://anninc.scene7.com/is/image/AN/603689_9007?$fullBpdp$;https://anninc.scene7.com/is/image/AN/603689_9007_ALT1?$pdpthumb$;https://anninc.scene7.com/is/image/AN/603689_9007_ALT2?$pdpthumb$
The Notched Blazer in Seasonless Stretch;;Black;Virgin Wool;Italy;Women;https://anninc.scene7.com/is/image/AN/525253_6600?$fullBpdp$;https://anninc.scene7.com/is/image/AN/525253_6600_ALT1?$pdpthumb$;https://anninc.scene7.com/is/image/AN/525253_6600_ALT2?$pdpthumb$
The Shorter Tailored Double Breasted Blazer in Lightweight Weave;;Teal;Virgin Wool;Italy;Women;https://anninc.scene7.com/is/image/AN/825388_2397?$fullBpdp$;https://anninc.scene7.com/is/image/AN/825388_2397?$pdpthumb$;https://anninc.scene7.com/is/image/AN/825388_2397_ALT1?$pdpthumb$
