shoe_name;shoe_price;shoe_material;shoe_origin;shoe_color;shoe_image1;shoe_image2;shoe_image3;shoe_sex
Leather loafers;999;Calfskin;Italy;Black;https://www.armani.com/variants/images/30629810019614185/F/w480.jpg;https://www.armani.com/variants/images/30629810019614185/D/w480.jpg;https://www.armani.com/variants/images/30629810019614185/E/w480.jpg;men
Patent leather Oxfords;899;Calfskin;Italy;Black;https://www.armani.com/variants/images/1647597313172395/F/w480.jpg;https://www.armani.com/variants/images/1647597313172395/D/w480.jpg;https://www.armani.com/variants/images/1647597313172395/R/w480.jpg;men
Leather Derby shoes;799;Goat Leather;Italy;Black;https://www.armani.com/variants/images/1647597313172396/F/w480.jpg;https://www.armani.com/variants/images/1647597313172396/D/w480.jpg;https://www.armani.com/variants/images/1647597313172396/E/w480.jpg;men
Oxford shoe in gradient calfskin;899;Goat Leather;Italy;Black;https://www.armani.com/variants/images/38063312418550722/F/w960.jpg;https://www.armani.com/variants/images/38063312418550722/D/w960.jpg;https://www.armani.com/variants/images/38063312418550722/E/w480.jpg;men
Patent-leather Derby shoes;999;Goat Leather;Italy;Black;https://www.armani.com/variants/images/45666037505116442/F/w480.jpg;https://www.armani.com/variants/images/45666037505116442/D/w480.jpg;https://www.armani.com/variants/images/45666037505116442/E/w480.jpg;men
Nappa leather court shoes;1100;Goat Leather;Italy;Black;https://www.armani.com/variants/images/1647597316500700/F/w480.jpg;https://www.armani.com/variants/images/1647597316500700/D/w480.jpg;https://www.armani.com/variants/images/1647597316500700/E/w480.jpg;women
High-heeled sandals in smooth patent leather;1200;Goat Leather;Italy;Black;https://www.armani.com/variants/images/45666037505232426/F/w480.jpg;https://www.armani.com/variants/images/45666037505232426/E/w480.jpg;https://www.armani.com/variants/images/45666037505232426/A/w480.jpg;women
Velvet d’Orsay court shoes;1100;Sheep Skin;Italy;Dark Blue;https://www.armani.com/variants/images/1647597316503593/F/w480.jpg;https://www.armani.com/variants/images/1647597316503593/D/w480.jpg;https://www.armani.com/variants/images/1647597316503593/E/w480.jpg;women
Patent leather T-bar court shoes;1200;Goat Leather;Italy;White;https://www.armani.com/variants/images/1647597316500702/F/w480.jpg;https://www.armani.com/variants/images/1647597316500702/D/w480.jpg;https://www.armani.com/variants/images/1647597316500702/E/w480.jpg;women
Pleated nappa-leather court shoes with heel;999;Goat Leather;Italy;White;https://www.armani.com/variants/images/1647597316503591/F/w480.jpg;https://www.armani.com/variants/images/1647597316503591/D/w480.jpg;https://www.armani.com/variants/images/1647597316503591/E/w480.jpg;women
